variable,percperm,perctemp,perctill
Intercept,0.070090204,-1.031000797,-0.98792836
s4,-0.000636945,NA,NA
CPermanentesAGUACATE,0.027230239,NA,NA
CPermanentesCAFE,0.986526795,NA,NA
CPermanentesGUABA,0.253067262,NA,NA
CPermanentesMANDARINA,0.010674855,NA,NA
CPermanentesNARANJA,0.837107131,NA,NA
CPermanentesOTROS BANANOS,0.10659118,-0.14077382,NA
p9,0.000703752,NA,NA
VentaLibras,1.08E-05,NA,NA
CTransitoriosAPIO,-0.12734532,NA,NA
CTransitoriosBROCOLI,-0.39119698,NA,NA
CTransitoriosFREJOL TIERNO,-0.235484299,NA,NA
CTransitoriosMAIZ DURO CHOCLO,-0.038881878,0.980026186,NA
CTransitoriosTOMATE RINON,-0.013777272,NA,NA
CTransitoriosVAINITA,-0.036549456,NA,NA
pc4None,0.277963564,NA,NA
ArbolesMANDARINA,0.089633538,NA,NA
ga15cualADECUACION UPA,0.102744577,NA,NA
to57e,0.000936979,NA,NA
biokSi,0.23639287,NA,NA
ENERGIAELNO TIENE,-0.060978209,NA,NA
INTERNETINTERNET PRIVADO,-0.340486875,NA,NA
ALCANTARILALCANTARILLADO PUBLICO,0.175981064,NA,NA
ALCANTARILSIN INFORMACION,-0.324420098,NA,NA
RELIEVEONDULADO,-0.050457361,NA,NA
CTransitoriosCOL,NA,0.114151288,NA
CTransitoriosHIERVITA,NA,0.042202703,NA
CTransitoriosMELON,NA,0.625084289,NA
CTransitoriosNABO,NA,1.767761146,NA
CTransitoriosPIMIENTO,NA,0.211531545,NA
librasvendida,NA,1.48E-05,NA
ga15cualPERSONAL PARA SEMBRAR,NA,2.348918706,NA
e30f,NA,0.914560263,NA
o4f,NA,NA,0.001243252
ga15cualGASTOS HERRAMIENTAS,NA,NA,1.554277983
ga15cualHERRAMIENTA DE TRANAJO,NA,NA,1.411983217
ga15cualPARA PREVERCION MEDICINA,NA,NA,1.68783972
GastosPecuarios,NA,NA,1.25E-06