variable,percpasture,percbrush
Intercept,1.458409053,0.490429899
cantonSan Cristobal,-0.068196851,NA
CTransitoriosCILANTRO,0.015561534,NA
PastosBRACHIARIA,0.153740664,NA
PastosKING GRASS,0.163930414,NA
pc6,0.003320173,NA
ArbolesPAPAYA,-0.286257933,NA
v3,0.007648503,NA
v30a,0.01296826,NA
v45,0.000293452,NA
o4b,0.000201862,NA
e29f,0.000561517,NA
d3Si,0.125070179,NA
ENERGIAELENERGIA SOLAR PRIVADA,0.025772184,NA
cantonSanta Cruz,NA,-0.476401218
c10Si,NA,-0.020936119
c14,NA,0.00514202
r3,NA,0.073094558
CPermanentesNARANJILLA,NA,0.227064164
CPermanentesPINA,NA,0.102056002
t28,NA,1.49E-05
ArbolesAGUACATE,NA,0.3216416
ArbolesGUAYABA,NA,0.716697724
ArbolesNARANJA,NA,0.035799119
ArbolesNARANJA AGRIA,NA,-0.332794321
oe,NA,0.000366968
ForestalAGUACATE,NA,0.039561897
ForestalCEDRELA,NA,0.431564199
ga15cualHERRAMIENTAS DE TRABAJO,NA,0.517404884
ga15cualLIMPIEZA DE LA FINCA,NA,0.220973673
ga15cualTRABAJADORES,NA,0.418279484
GastosAgricolas,NA,-2.95E-05
AGUAAGUA ENTUBADA PUBLICA,NA,-0.065551938
AGUANO TIENE,NA,0.091300213
ALCANTARILPOZO SEPTICO O CIEGO PRIVADO,NA,0.233500444
VIASDEACASFALTADA,NA,0.118210655
VIASDEACSENDERO,NA,0.215123035